Epoch: [0][1010/1042]	 Time 0.344 (1.739)	 Data 0.000 (1.391)	 Loss 0.638 (1.409)	 EPE 3.936 (9.380)
Epoch: [0][1020/1042]	 Time 0.347 (1.739)	 Data 0.000 (1.391)	 Loss 0.377 (1.400)	 EPE 2.394 (9.314)
Epoch: [0][1030/1042]	 Time 0.352 (1.750)	 Data 0.000 (1.402)	 Loss 0.495 (1.391)	 EPE 3.148 (9.250)
Epoch: [0][1040/1042]	 Time 0.347 (1.745)	 Data 0.000 (1.397)	 Loss 0.410 (1.382)	 EPE 2.469 (9.189)
Epoch: [1][0/1042]	 Time 16.314 (16.314)	 Data 15.945 (15.945)	 Loss 0.454 (0.454)	 EPE 2.680 (2.680)
Epoch: [1][10/1042]	 Time 0.351 (3.140)	 Data 0.000 (2.787)	 Loss 0.422 (0.476)	 EPE 2.811 (3.035)
Epoch: [1][20/1042]	 Time 0.354 (2.274)	 Data 0.000 (1.922)	 Loss 0.284 (0.456)	 EPE 1.820 (2.894)
Epoch: [1][30/1042]	 Time 0.349 (2.096)	 Data 0.000 (1.743)	 Loss 0.468 (0.447)	 EPE 2.904 (2.844)
Epoch: [1][40/1042]	 Time 13.270 (2.412)	 Data 12.913 (2.060)	 Loss 0.371 (0.456)	 EPE 2.243 (2.919)
Epoch: [1][50/1042]	 Time 0.353 (2.272)	 Data 0.000 (1.920)	 Loss 0.434 (0.442)	 EPE 2.709 (2.815)
Epoch: [1][60/1042]	 Time 0.351 (2.150)	 Data 0.000 (1.799)	 Loss 0.363 (0.440)	 EPE 2.288 (2.782)
Epoch: [1][70/1042]	 Time 0.350 (2.017)	 Data 0.000 (1.666)	 Loss 0.329 (0.441)	 EPE 1.952 (2.784)
Epoch: [1][80/1042]	 Time 9.650 (2.103)	 Data 9.321 (1.752)	 Loss 0.433 (0.435)	 EPE 2.972 (2.755)
Epoch: [1][90/1042]	 Time 0.358 (2.063)	 Data 0.000 (1.711)	 Loss 0.350 (0.429)	 EPE 2.163 (2.707)
Epoch: [1][100/1042]	 Time 0.348 (1.997)	 Data 0.000 (1.646)	 Loss 0.363 (0.431)	 EPE 2.273 (2.716)
Epoch: [1][110/1042]	 Time 0.356 (2.035)	 Data 0.000 (1.683)	 Loss 0.391 (0.430)	 EPE 2.334 (2.711)
Epoch: [1][120/1042]	 Time 16.327 (2.152)	 Data 15.984 (1.800)	 Loss 0.313 (0.426)	 EPE 2.013 (2.685)
Epoch: [1][130/1042]	 Time 0.352 (2.145)	 Data 0.000 (1.793)	 Loss 0.437 (0.424)	 EPE 2.746 (2.673)
Epoch: [1][140/1042]	 Time 0.351 (2.073)	 Data 0.000 (1.721)	 Loss 0.336 (0.423)	 EPE 1.982 (2.661)
Epoch: [1][150/1042]	 Time 0.355 (2.048)	 Data 0.000 (1.696)	 Loss 0.488 (0.420)	 EPE 3.122 (2.647)
Epoch: [1][160/1042]	 Time 13.344 (2.109)	 Data 12.982 (1.757)	 Loss 0.461 (0.420)	 EPE 3.159 (2.647)
Epoch: [1][170/1042]	 Time 0.349 (2.075)	 Data 0.000 (1.723)	 Loss 0.503 (0.421)	 EPE 3.260 (2.655)
Epoch: [1][180/1042]	 Time 0.363 (2.048)	 Data 0.000 (1.697)	 Loss 0.451 (0.417)	 EPE 2.702 (2.634)
Epoch: [1][190/1042]	 Time 0.356 (2.012)	 Data 0.000 (1.660)	 Loss 0.539 (0.416)	 EPE 3.251 (2.625)
Epoch: [1][200/1042]	 Time 14.912 (2.061)	 Data 14.583 (1.709)	 Loss 0.405 (0.415)	 EPE 2.569 (2.622)
Epoch: [1][210/1042]	 Time 0.362 (2.025)	 Data 0.000 (1.673)	 Loss 0.518 (0.416)	 EPE 3.277 (2.625)
